LoanID,CustomerAge,Income,LoanAmount,InterestRate,TermMonths,CreditScore,OriginationDate,Defaulted,DefaultDate,DTI,LTI,AgeGroup,TimeToDefaultMonths,OriginationMonth,GDP_Growth,Unemployment_Rate,Inflation_Rate,GDP_Growth_3MAvg,Unemployment_3MAvg,Inflation_3MAvg,PD,LGD,EAD,ECL,CreditScoreBand,IFRS9_Stage,LoanAgeMonths
L02432,62,140048,27605,7.01,12,315,2024-05-15,0,,0.1971109905175368,0.1971109905175368,60s,0.0,2024-05-01,1.3930510644373455,4.999306485684271,2.408811511663381,2.240337984797757,5.51716228270183,2.29832950569295,0.06,0.322,27245.28,525.71,Poor,Stage 2,12
L02433,29,36490,38194,15.28,24,568,2023-12-06,0,,1.0466977254042202,1.0466977254042202,20s,0.0,2023-12-01,1.894676466343383,7.069755601215846,1.9379351431262704,1.8570238295855563,6.412891841977154,2.272776953661701,0.03,0.235,38506.64,271.25,Poor,Stage 2,17
L02434,29,25316,41130,6.34,60,558,2023-09-19,1,2026-12-04,1.6246642439563912,1.6246642439563912,20s,39.0,2023-09-01,1.1591001010794146,4.230644229196696,2.9397958517909712,2.114432919187339,4.96997050653583,2.5842995703130565,0.62,0.344,41578.41,8859.13,Poor,Stage 3,20
L02435,55,128933,17751,15.63,48,516,2023-02-24,0,,0.1376761573840677,0.1376761573840677,50s,0.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.11,0.192,18421.37,389.77,Poor,Stage 2,27
L02436,42,86775,9566,8.5,60,714,2022-09-24,0,,0.1102391241717084,0.1102391241717084,40s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.03,0.255,9402.61,72.04,Good,Stage 2,32
L02437,53,47326,34139,15.08,24,741,2023-08-29,0,,0.7213582386003465,0.7213582386003465,50s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.05,0.265,33641.83,445.54,Very Good,Stage 2,20
L02438,33,32937,33161,10.8,24,711,2024-01-25,0,,1.0068008622521785,1.0068008622521785,30s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.964303541078592,6.45362652850156,2.2956399972246384,0.06,0.203,32618.28,398.04,Good,Stage 2,15
L02439,38,102055,5025,5.09,12,547,2023-09-16,0,,0.0492381558963304,0.0492381558963304,30s,0.0,2023-09-01,1.1591001010794146,4.230644229196696,2.9397958517909712,2.114432919187339,4.96997050653583,2.5842995703130565,0.21,0.257,4991.34,269.36,Poor,Stage 2,20
L02440,21,23773,27956,15.99,12,804,2022-07-13,1,2023-02-11,1.1759559163757205,1.1759559163757205,20s,7.0,2022-07-01,4.073947525166922,4.801062819433707,1.8246969232435752,2.4842263194193843,5.551075369500374,2.3953731308672186,0.09,0.22,26814.69,531.66,Excellent,Stage 2,34
L02441,65,90585,36616,5.72,36,417,2022-11-15,0,,0.4042170337252304,0.4042170337252304,60s,0.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.05,0.276,35836.31,494.54,Poor,Stage 2,30
L02442,63,107789,37889,5.4,48,719,2023-05-26,0,,0.3515108220690423,0.3515108220690423,60s,0.0,2023-05-01,1.9134642250612213,4.921429141968128,2.536535433577892,1.9909266177032352,6.2400099885139495,2.8167784913630864,0.07,0.378,37822.45,1000.44,Good,Stage 2,24
L02443,30,61298,21669,11.01,60,763,2022-07-17,0,,0.3535025612581161,0.3535025612581161,20s,0.0,2022-07-01,4.073947525166922,4.801062819433707,1.8246969232435752,2.4842263194193843,5.551075369500374,2.3953731308672186,0.09,0.312,22532.91,632.36,Very Good,Stage 2,34
L02444,24,82001,13832,17.98,48,672,2023-10-13,0,,0.1686808697454909,0.1686808697454909,20s,0.0,2023-10-01,1.9361392798913275,5.201538083718159,2.1953790107849285,1.8066350953327208,4.933524106262756,2.652395419426751,0.06,0.304,13911.81,253.72,Good,Stage 2,19
L02445,64,80062,24307,12.81,60,679,2023-04-07,1,2026-08-07,0.3036022082885763,0.3036022082885763,60s,41.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.69,0.462,24395.11,7784.34,Good,Stage 3,25
L02446,56,99923,8840,13.63,48,808,2022-10-23,0,,0.0884681204527486,0.0884681204527486,50s,0.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.388047865137168,2.413916357481154,0.11,0.283,9241.8,287.39,Excellent,Stage 2,31
L02447,33,43528,32402,7.26,24,444,2023-01-17,0,,0.7443944127917662,0.7443944127917662,30s,0.0,2023-01-01,2.4823076569763702,7.721511165662398,2.7035067129716897,2.3590750079880727,6.043806803857092,2.5168408015261186,0.13,0.282,32393.14,1188.59,Poor,Stage 2,28
L02448,54,76333,44205,8.33,24,636,2023-11-30,0,,0.5791073323464294,0.5791073323464294,50s,0.0,2023-11-01,1.7402557425219578,6.967381840997457,2.685016707073905,1.6118317078309,5.466521384637438,2.606730523216602,0.08,0.339,43813.12,1188.88,Fair,Stage 2,17
L02449,60,53368,43572,6.3,48,650,2022-08-08,0,,0.8164443111977214,0.8164443111977214,50s,0.0,2022-08-01,1.5884499952760007,6.694642118148653,2.071038927995376,2.5550033703400445,5.676320311620862,2.2290679117675807,0.05,0.338,45011.88,759.85,Fair,Stage 2,33
L02450,40,28724,8084,15.38,36,657,2023-07-15,0,,0.281437125748503,0.281437125748503,30s,0.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.18,0.379,7849.51,536.13,Fair,Stage 2,22
L02451,45,40872,16414,10.26,24,709,2023-04-22,0,,0.4015952241143081,0.4015952241143081,40s,0.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.07,0.274,16753.75,321.44,Good,Stage 2,25
L02452,36,107844,27215,16.99,36,328,2023-07-14,0,,0.2523552538852416,0.2523552538852416,30s,0.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.07,0.27,27136.72,512.25,Poor,Stage 2,22
L02453,40,44022,21922,17.58,24,412,2023-04-14,0,,0.4979782835854799,0.4979782835854799,30s,0.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.23,0.28,22735.33,1465.74,Poor,Stage 2,25
L02454,30,87158,41286,8.66,12,807,2022-06-23,1,2023-03-01,0.4736914568943757,0.4736914568943757,20s,8.0,2022-06-01,2.002612590577211,5.533255997280228,2.7914678840637914,1.720401525688848,6.070943201332469,2.63804158965663,0.83,0.251,39826.24,8292.66,Excellent,Stage 3,35
L02455,43,120960,19673,15.99,12,455,2022-06-10,0,,0.1626405423280423,0.1626405423280423,40s,0.0,2022-06-01,2.002612590577211,5.533255997280228,2.7914678840637914,1.720401525688848,6.070943201332469,2.63804158965663,0.46,0.211,19636.79,1908.38,Poor,Stage 3,35
L02456,68,140650,24196,9.64,48,749,2023-07-15,0,,0.1720298613579808,0.1720298613579808,60s,0.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.1,0.311,24668.9,768.14,Very Good,Stage 2,22
L02457,49,52548,21371,6.3,60,805,2023-02-08,0,,0.4066948313922509,0.4066948313922509,40s,0.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.11,0.357,21904.91,859.0,Excellent,Stage 2,27
L02458,23,108659,17281,4.26,12,480,2022-09-23,1,2023-09-14,0.1590388278927654,0.1590388278927654,20s,12.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.07,0.169,16642.54,196.88,Poor,Stage 2,32
L02459,47,86846,32146,5.78,24,561,2024-03-03,0,,0.3701494599636137,0.3701494599636137,40s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.06,0.236,31932.1,452.57,Poor,Stage 2,14
L02460,59,42483,29558,8.29,24,768,2023-08-18,0,,0.6957606572040581,0.6957606572040581,50s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.19,0.278,29770.43,1572.73,Very Good,Stage 2,21
L02461,39,114467,35076,12.73,12,712,2023-08-06,1,2023-10-25,0.3064289271143648,0.3064289271143648,30s,3.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.26,0.213,32799.09,1817.28,Good,Stage 2,21
L02462,33,63773,31570,14.76,12,556,2023-01-08,1,2023-10-25,0.4950370846596522,0.4950370846596522,30s,10.0,2023-01-01,2.4823076569763702,7.721511165662398,2.7035067129716897,2.3590750079880727,6.043806803857092,2.5168408015261186,0.69,0.345,29513.76,7029.92,Poor,Stage 3,28
L02463,41,60533,46022,4.6,60,603,2023-06-30,0,,0.7602795169576925,0.7602795169576925,40s,0.0,2023-06-01,1.6866116662931072,5.292361429215716,2.7522617229098687,1.970851792373928,5.546148941512129,2.757910161032392,0.07,0.254,45835.59,815.82,Fair,Stage 2,22
L02464,69,75491,11043,16.01,12,687,2023-04-27,1,2023-09-10,0.1462823382919818,0.1462823382919818,60s,5.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.33,0.252,11694.88,972.47,Good,Stage 2,25
L02465,53,51174,20096,11.11,48,609,2023-06-17,0,,0.392699417673037,0.392699417673037,50s,0.0,2023-06-01,1.6866116662931072,5.292361429215716,2.7522617229098687,1.970851792373928,5.546148941512129,2.757910161032392,0.11,0.291,21155.67,677.26,Fair,Stage 2,23
L02466,26,74337,9506,11.91,60,350,2022-11-23,1,2024-07-20,0.1278771002327239,0.1278771002327239,20s,20.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.24,0.377,9124.68,825.75,Poor,Stage 2,30
L02467,45,94319,14170,7.6,12,454,2024-03-24,0,,0.1502348413363161,0.1502348413363161,40s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.16,0.203,14533.2,473.06,Poor,Stage 2,14
L02468,37,55178,16636,15.18,24,597,2024-04-15,0,,0.30149697343144,0.30149697343144,30s,0.0,2024-04-01,2.610925191020669,4.921261927611488,2.4286029073507773,2.4915551817490145,5.226437489195747,2.276693568136,0.11,0.244,16727.15,449.39,Fair,Stage 2,13
L02469,68,99314,48959,16.17,12,816,2022-12-05,0,,0.4929717864550819,0.4929717864550819,60s,0.0,2022-12-01,1.708355198702862,3.973186911024205,2.6071833741290216,2.408536698676428,5.606239873346172,2.482278279644609,0.04,0.326,49707.39,647.39,Excellent,Stage 2,29
L02470,46,108789,26915,7.07,48,824,2022-10-01,0,,0.2474055281324398,0.2474055281324398,40s,0.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.388047865137168,2.413916357481154,0.08,0.315,26174.5,658.59,Excellent,Stage 2,32
L02471,40,145951,6675,13.97,48,528,2022-12-06,0,,0.0457345273413679,0.0457345273413679,30s,0.0,2022-12-01,1.708355198702862,3.973186911024205,2.6071833741290216,2.408536698676428,5.606239873346172,2.482278279644609,0.14,0.276,6599.75,255.02,Poor,Stage 2,29
L02472,53,129459,15219,13.24,24,585,2023-10-07,1,2025-06-20,0.1175584548003615,0.1175584548003615,50s,21.0,2023-10-01,1.9361392798913275,5.201538083718159,2.1953790107849285,1.8066350953327208,4.933524106262756,2.652395419426751,0.7,0.316,15541.01,3438.95,Fair,Stage 3,19
L02473,65,123152,30280,13.38,60,574,2022-10-15,0,,0.2458750162400935,0.2458750162400935,60s,0.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.388047865137168,2.413916357481154,0.16,0.335,31020.0,1663.26,Poor,Stage 2,31
L02474,23,27008,25315,14.63,24,822,2023-08-10,0,,0.9373148696682464,0.9373148696682464,20s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.05,0.283,26552.26,375.84,Excellent,Stage 2,21
L02475,46,72092,46152,6.48,12,649,2024-04-06,0,,0.6401819896798535,0.6401819896798535,40s,0.0,2024-04-01,2.610925191020669,4.921261927611488,2.4286029073507773,2.4915551817490145,5.226437489195747,2.276693568136,0.08,0.258,45149.41,930.46,Fair,Stage 2,13
L02476,66,48887,49172,17.93,24,840,2022-06-06,0,,1.005829770695686,1.005829770695686,60s,0.0,2022-06-01,2.002612590577211,5.533255997280228,2.7914678840637914,1.720401525688848,6.070943201332469,2.63804158965663,0.1,0.354,48576.61,1721.93,Excellent,Stage 2,35
L02477,49,32279,46491,13.83,60,369,2023-10-28,0,,1.4402862542210106,1.4402862542210106,40s,0.0,2023-10-01,1.9361392798913275,5.201538083718159,2.1953790107849285,1.8066350953327208,4.933524106262756,2.652395419426751,0.2,0.302,45160.8,2725.13,Poor,Stage 2,18
L02478,59,46925,19638,10.08,36,563,2024-03-14,1,2024-12-28,0.4184976025572722,0.4184976025572722,50s,10.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.33,0.275,20396.54,1848.52,Poor,Stage 2,14
L02479,33,30663,19120,7.1,24,399,2024-05-03,1,2025-12-12,0.6235528160975768,0.6235528160975768,30s,20.0,2024-05-01,1.3930510644373455,4.999306485684271,2.408811511663381,2.240337984797757,5.51716228270183,2.29832950569295,0.69,0.256,19199.43,3397.79,Poor,Stage 3,12
L02480,58,124922,49627,16.73,60,482,2022-05-29,0,,0.3972638926690254,0.3972638926690254,50s,0.0,2022-05-01,1.3761188425140192,6.318907291787187,2.569954585294288,1.7584506549428334,6.411956393472274,2.4795611804930995,0.07,0.341,48926.62,1166.25,Poor,Stage 2,36
L02481,57,59726,37905,7.39,36,537,2023-06-26,1,2023-09-08,0.6346482269028564,0.6346482269028564,50s,2.0,2023-06-01,1.6866116662931072,5.292361429215716,2.7522617229098687,1.970851792373928,5.546148941512129,2.757910161032392,0.67,0.217,36200.78,5264.28,Poor,Stage 3,23
L02482,59,73974,19925,15.22,60,701,2023-03-01,0,,0.2693513937329332,0.2693513937329332,50s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.13,0.324,20472.97,861.56,Good,Stage 2,26
L02483,59,97661,23998,12.88,60,345,2023-02-19,1,2024-02-11,0.2457275678111016,0.2457275678111016,50s,12.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.7,0.339,24149.28,5732.15,Poor,Stage 3,27
L02484,45,90631,34495,12.62,36,634,2023-09-12,0,,0.3806092837991415,0.3806092837991415,40s,0.0,2023-09-01,1.1591001010794146,4.230644229196696,2.9397958517909712,2.114432919187339,4.96997050653583,2.5842995703130565,0.1,0.268,33813.45,906.66,Fair,Stage 2,20
L02485,68,122974,31658,16.64,24,433,2022-08-18,0,,0.257436531299299,0.257436531299299,60s,0.0,2022-08-01,1.5884499952760007,6.694642118148653,2.071038927995376,2.5550033703400445,5.676320311620862,2.2290679117675807,0.04,0.383,31365.25,480.88,Poor,Stage 2,33
L02486,28,38910,34087,11.45,36,677,2023-09-16,0,,0.876047288614752,0.876047288614752,20s,0.0,2023-09-01,1.1591001010794146,4.230644229196696,2.9397958517909712,2.114432919187339,4.96997050653583,2.5842995703130565,0.04,0.286,33771.78,387.01,Good,Stage 2,20
L02487,38,52780,22623,11.9,24,369,2023-04-10,1,2023-11-25,0.4286282682834407,0.4286282682834407,30s,8.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.73,0.352,23109.03,5931.67,Poor,Stage 3,25
L02488,45,144604,36024,4.21,60,843,2023-11-11,0,,0.2491217393709717,0.2491217393709717,40s,0.0,2023-11-01,1.7402557425219578,6.967381840997457,2.685016707073905,1.6118317078309,5.466521384637438,2.606730523216602,0.08,0.3,35800.0,858.32,Excellent,Stage 2,18
L02489,52,140631,30799,12.43,24,578,2022-09-19,1,2024-05-11,0.2190057668650582,0.2190057668650582,50s,20.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.68,0.183,31831.33,3955.68,Poor,Stage 3,32
L02490,41,34877,27723,10.36,48,578,2022-12-01,0,,0.7948791467156006,0.7948791467156006,40s,0.0,2022-12-01,1.708355198702862,3.973186911024205,2.6071833741290216,2.408536698676428,5.606239873346172,2.482278279644609,0.04,0.264,28427.12,300.34,Poor,Stage 2,29
L02491,21,23936,36166,7.85,36,781,2023-08-03,1,2026-07-14,1.5109458556149733,1.5109458556149733,20s,36.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.67,0.224,36507.4,5483.95,Very Good,Stage 3,21
L02492,61,70859,47291,6.38,36,806,2022-11-02,1,2024-01-16,0.6673958142226111,0.6673958142226111,60s,15.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.83,0.225,50242.11,9369.91,Excellent,Stage 3,30
L02493,53,35648,43835,10.19,12,405,2023-09-30,1,2024-08-07,1.2296622531418313,1.2296622531418313,50s,10.0,2023-09-01,1.1591001010794146,4.230644229196696,2.9397958517909712,2.114432919187339,4.96997050653583,2.5842995703130565,0.17,0.204,44131.64,1532.18,Poor,Stage 2,19
L02494,41,29815,24966,10.22,60,452,2023-09-22,0,,0.8373637430823411,0.8373637430823411,40s,0.0,2023-09-01,1.1591001010794146,4.230644229196696,2.9397958517909712,2.114432919187339,4.96997050653583,2.5842995703130565,0.19,0.278,25891.79,1366.71,Poor,Stage 2,20
L02495,37,105140,30835,10.45,60,751,2023-01-23,0,,0.2932756324900133,0.2932756324900133,30s,0.0,2023-01-01,2.4823076569763702,7.721511165662398,2.7035067129716897,2.3590750079880727,6.043806803857092,2.5168408015261186,0.07,0.301,30537.33,643.36,Very Good,Stage 2,28
L02496,48,43814,27089,13.69,24,594,2022-06-30,1,2023-10-31,0.6182726982243119,0.6182726982243119,40s,16.0,2022-06-01,2.002612590577211,5.533255997280228,2.7914678840637914,1.720401525688848,6.070943201332469,2.63804158965663,0.18,0.454,26375.01,2157.1,Fair,Stage 2,35
L02497,39,125035,13965,7.19,48,675,2023-02-04,1,2026-11-15,0.1116887271563962,0.1116887271563962,30s,46.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.77,0.189,14376.75,2096.2,Good,Stage 3,27
L02498,32,39420,28236,14.11,60,603,2022-09-30,0,,0.7162861491628615,0.7162861491628615,30s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.03,0.262,28487.05,224.11,Fair,Stage 2,32
L02499,38,96907,20594,16.24,48,347,2022-06-22,0,,0.2125130279546369,0.2125130279546369,30s,0.0,2022-06-01,2.002612590577211,5.533255997280228,2.7914678840637914,1.720401525688848,6.070943201332469,2.63804158965663,0.13,0.198,21094.24,542.65,Poor,Stage 2,35
L02500,43,129345,40117,15.52,12,386,2023-04-03,0,,0.3101550117901736,0.3101550117901736,40s,0.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.03,0.243,39596.62,288.38,Poor,Stage 2,25
L02501,24,79613,20373,14.32,36,810,2024-01-21,0,,0.2559004182733975,0.2559004182733975,20s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.964303541078592,6.45362652850156,2.2956399972246384,0.1,0.326,20735.41,676.21,Excellent,Stage 2,16
L02502,67,107943,5358,7.34,48,334,2022-11-11,0,,0.049637308579528,0.049637308579528,60s,0.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.06,0.312,5001.87,93.61,Poor,Stage 2,30
L02503,52,27159,35151,6.28,60,774,2023-02-10,0,,1.294267093781067,1.294267093781067,50s,0.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.03,0.251,35012.27,264.16,Very Good,Stage 2,27
L02504,56,122489,40929,13.86,36,501,2023-12-26,0,,0.334144290507719,0.334144290507719,50s,0.0,2023-12-01,1.894676466343383,7.069755601215846,1.9379351431262704,1.8570238295855563,6.412891841977154,2.272776953661701,0.01,0.265,42150.09,111.5,Poor,Stage 1,16
L02505,42,44395,5335,6.63,48,800,2023-07-04,0,,0.1201711904493749,0.1201711904493749,40s,0.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.1,0.276,5092.3,140.73,Very Good,Stage 2,22
L02506,40,126598,18720,8.68,48,504,2023-08-25,0,,0.1478696345913837,0.1478696345913837,30s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.05,0.209,18925.77,197.79,Poor,Stage 2,21
L02507,60,109716,9613,17.91,24,726,2023-01-15,0,,0.0876171205658244,0.0876171205658244,50s,0.0,2023-01-01,2.4823076569763702,7.721511165662398,2.7035067129716897,2.3590750079880727,6.043806803857092,2.5168408015261186,0.16,0.31,9490.91,471.48,Good,Stage 2,28
L02508,55,42068,21946,15.85,36,688,2022-11-28,0,,0.5216791860796806,0.5216791860796806,50s,0.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.07,0.248,22676.83,394.13,Good,Stage 2,30
L02509,49,99199,41686,16.79,48,646,2023-02-19,0,,0.4202260103428462,0.4202260103428462,40s,0.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.04,0.322,40958.85,527.02,Fair,Stage 2,27
L02510,47,42102,24536,6.75,24,491,2023-03-21,0,,0.5827751650752934,0.5827751650752934,40s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.01,0.264,24612.94,64.89,Poor,Stage 1,26
L02511,64,70526,26659,5.4,60,476,2023-06-19,0,,0.3780024388168902,0.3780024388168902,60s,0.0,2023-06-01,1.6866116662931072,5.292361429215716,2.7522617229098687,1.970851792373928,5.546148941512129,2.757910161032392,0.34,0.336,26054.99,2980.9,Poor,Stage 2,23
L02512,69,88464,43385,16.23,48,836,2022-09-26,0,,0.4904254838126243,0.4904254838126243,60s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.07,0.334,44334.69,1035.44,Excellent,Stage 2,32
L02513,31,111280,40739,9.62,24,383,2022-09-06,0,,0.3660945363048167,0.3660945363048167,30s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.0,0.233,40900.51,0.0,Poor,Stage 1,32
L02514,29,76795,41774,4.05,24,575,2023-03-15,0,,0.5439677062308744,0.5439677062308744,20s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.05,0.373,43326.75,807.44,Poor,Stage 2,26
L02515,41,108636,36691,17.55,36,306,2023-08-14,0,,0.3377425531131485,0.3377425531131485,40s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.07,0.265,36010.84,668.68,Poor,Stage 2,21
L02516,59,50340,22338,6.18,24,824,2022-11-11,0,,0.4437425506555423,0.4437425506555423,50s,0.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.34,0.313,22914.02,2441.09,Excellent,Stage 2,30
L02517,27,44935,44477,16.23,48,530,2023-11-03,0,,0.9898074997218204,0.9898074997218204,20s,0.0,2023-11-01,1.7402557425219578,6.967381840997457,2.685016707073905,1.6118317078309,5.466521384637438,2.606730523216602,0.13,0.251,43488.52,1419.78,Poor,Stage 2,18
L02518,42,106936,14419,13.16,12,698,2023-07-28,0,,0.1348376599087304,0.1348376599087304,40s,0.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.08,0.271,14749.02,319.88,Good,Stage 2,22
L02519,60,110488,45734,16.66,60,543,2023-11-16,0,,0.4139273043226413,0.4139273043226413,50s,0.0,2023-11-01,1.7402557425219578,6.967381840997457,2.685016707073905,1.6118317078309,5.466521384637438,2.606730523216602,0.06,0.339,46006.56,934.75,Poor,Stage 2,18
L02520,33,131786,22861,15.5,48,453,2022-09-07,0,,0.1734706266219477,0.1734706266219477,30s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.04,0.22,22734.84,200.45,Poor,Stage 2,32
L02521,29,84512,35490,6.87,48,706,2023-01-30,1,2026-02-21,0.4199403634986747,0.4199403634986747,20s,37.0,2023-01-01,2.4823076569763702,7.721511165662398,2.7035067129716897,2.3590750079880727,6.043806803857092,2.5168408015261186,0.8,0.28,33434.75,7496.57,Good,Stage 3,27
L02522,22,79789,7389,9.6,60,315,2023-07-29,1,2028-02-27,0.0926067503039266,0.0926067503039266,20s,56.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.72,0.176,7593.31,961.03,Poor,Stage 3,21
L02523,49,23051,41090,11.14,60,825,2022-10-18,1,2027-07-01,1.7825690859398724,1.7825690859398724,40s,57.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.388047865137168,2.413916357481154,0.79,0.326,39401.83,10145.08,Excellent,Stage 3,31
L02524,52,147838,3458,13.74,24,458,2023-01-01,0,,0.0233904679446421,0.0233904679446421,50s,0.0,2023-01-01,2.4823076569763702,7.721511165662398,2.7035067129716897,2.3590750079880727,6.043806803857092,2.5168408015261186,0.09,0.339,3323.14,101.4,Poor,Stage 2,28
L02525,44,120224,16227,11.61,48,454,2023-07-17,1,2025-10-24,0.1349730503060953,0.1349730503060953,40s,28.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.1,0.139,15484.44,215.87,Poor,Stage 2,22
L02526,47,70155,13306,14.53,24,514,2023-12-17,0,,0.1896657401468177,0.1896657401468177,40s,0.0,2023-12-01,1.894676466343383,7.069755601215846,1.9379351431262704,1.8570238295855563,6.412891841977154,2.272776953661701,0.18,0.279,13115.58,657.61,Poor,Stage 2,17
L02527,54,27711,24364,10.41,36,505,2023-08-21,0,,0.879217639204648,0.879217639204648,50s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.04,0.245,24334.59,238.51,Poor,Stage 2,21
